"Player","Nation","Pos","Age","MP","Starts","Min","90s","Gls","Ast","G+A","G-PK","PK","PKatt","CrdY","CrdR","xG","npxG","xAG","npxG+xAG","PrgC","PrgP","PrgR","Gls_90","Ast_90","G+A_90","G-PK_90","G+A-PK_90","xG_90","xAG_90","xG+xAG_90","npxG_90","npxG+xAG_90","Team","AgeGroup","MP_norm","xG_norm","xAG_norm"
"JoÃ£o Palhinha","pt POR","MF",28,33,31,2699,30,4,1,5,4,0,0,13,0,3.3,3.3,0.8,4.1,8,97,14,0.13,0.03,0.17,0.13,0.17,0.11,0.03,0.14,0.11,0.14,"Fulham","Prime",0.864864864864865,0.113013698630137,0.0677966101694915
"Timothy Castagne","be BEL","DF",27,34,29,2634,29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,48,77,113,0.03,0.1,0.14,0.03,0.14,0.06,0.07,0.12,0.06,0.12,"Fulham","Prime",0.891891891891892,0.0547945205479452,0.161016949152542
"Calvin Bassey","ng NGA","DF",23,29,25,2303,25.6,1,0,1,1,0,0,6,1,0.3,0.3,0,0.4,15,62,4,0.04,0,0.04,0.04,0.04,0.01,0,0.01,0.01,0.01,"Fulham","Young",0.756756756756757,0.0102739726027397,0
"Alex Iwobi","ng NGA","FW,MF",27,30,25,2192,24.4,5,2,7,5,0,0,2,0,5.3,5.3,4.7,10,109,147,175,0.21,0.08,0.29,0.21,0.29,0.22,0.19,0.41,0.22,0.41,"Fulham","Prime",0.783783783783784,0.181506849315068,0.398305084745763
"Willian","br BRA","FW",34,31,24,2053,22.8,4,2,6,2,2,2,1,0,5.1,3.6,3.9,7.5,92,153,181,0.18,0.09,0.26,0.09,0.18,0.22,0.17,0.4,0.16,0.33,"Fulham","Veteran",0.810810810810811,0.174657534246575,0.330508474576271
"Tosin Adarabioyo","eng ENG","DF",25,20,18,1617,18,2,0,2,2,0,0,2,0,0.7,0.7,0.1,0.8,10,62,5,0.11,0,0.11,0.11,0.11,0.04,0.01,0.05,0.04,0.05,"Fulham","Prime",0.513513513513513,0.023972602739726,0.00847457627118644
"Rodrigo Muniz","br BRA","FW",22,26,18,1593,17.7,9,1,10,9,0,0,1,0,8.7,8.7,2,10.7,8,19,76,0.51,0.06,0.56,0.51,0.56,0.49,0.12,0.61,0.49,0.61,"Fulham","Young",0.675675675675676,0.297945205479452,0.169491525423729
"RaÃºl JimÃ©nez","mx MEX","FW",32,24,18,1395,15.5,7,0,7,7,0,0,3,1,5.2,5.2,1.5,6.6,11,24,87,0.45,0,0.45,0.45,0.45,0.33,0.1,0.43,0.33,0.43,"Fulham","Veteran",0.621621621621622,0.178082191780822,0.127118644067797
"Tim Ream","us USA","DF",35,18,17,1503,16.7,1,0,1,1,0,0,4,1,1,1,0,1,11,65,3,0.06,0,0.06,0.06,0.06,0.06,0,0.06,0.06,0.06,"Fulham","Veteran",0.459459459459459,0.0342465753424658,0
"Bobby Reid","jm JAM","FW",30,33,17,1423,15.8,6,2,8,6,0,0,4,0,4.6,4.6,1.8,6.4,35,47,95,0.38,0.13,0.51,0.38,0.51,0.28,0.11,0.4,0.28,0.4,"Fulham","Prime",0.864864864864865,0.157534246575342,0.152542372881356
"Harry Wilson","wls WAL","FW",26,35,16,1620,18,4,6,10,4,0,0,6,0,3.4,3.4,3.5,6.8,41,60,130,0.22,0.33,0.56,0.22,0.56,0.19,0.19,0.38,0.19,0.38,"Fulham","Prime",0.918918918918919,0.116438356164384,0.296610169491525
"Issa Diop","fr FRA","DF",26,18,16,1424,15.8,0,0,0,0,0,0,4,1,0.3,0.3,0,0.3,11,66,1,0,0,0,0,0,0.02,0,0.02,0.02,0.02,"Fulham","Prime",0.459459459459459,0.0102739726027397,0
"Harrison Reed","eng ENG","MF",28,27,15,1325,14.7,0,2,2,0,0,0,6,0,0.3,0.3,1.1,1.4,10,56,40,0,0.14,0.14,0,0.14,0.02,0.07,0.09,0.02,0.09,"Fulham","Prime",0.702702702702703,0.0102739726027397,0.0932203389830508
"Tom Cairney","sct SCO","MF",32,34,14,1488,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35,145,72,0.06,0.24,0.3,0.06,0.3,0.07,0.14,0.2,0.07,0.2,"Fulham","Veteran",0.891891891891892,0.0376712328767123,0.194915254237288
"SaÅ¡a LukiÄ‡","rs SRB","MF",26,24,13,1122,12.5,1,0,1,1,0,0,3,0,1.6,1.6,0.8,2.4,12,43,27,0.08,0,0.08,0.08,0.08,0.13,0.06,0.19,0.13,0.19,"Fulham","Prime",0.621621621621622,0.0547945205479452,0.0677966101694915
"Kenny Tete","nl NED","DF",27,14,10,867,9.6,1,0,1,1,0,0,2,0,0.9,0.9,0.4,1.2,20,54,38,0.1,0,0.1,0.1,0.1,0.09,0.04,0.13,0.09,0.13,"Fulham","Prime",0.351351351351351,0.0308219178082192,0.0338983050847458
"Carlos VinÃ­cius","br BRA","FW",28,13,2,315,3.5,2,0,2,2,0,0,2,0,1.6,1.6,0.8,2.4,3,3,13,0.57,0,0.57,0.57,0.57,0.46,0.23,0.69,0.46,0.69,"Fulham","Prime",0.324324324324324,0.0547945205479452,0.0677966101694915
"Armando Broja","al ALB","FW",21,8,0,88,1,0,1,1,0,0,0,0,0,0,0,0.4,0.4,2,2,7,0,1.02,1.02,0,1.02,0,0.41,0.41,0,0.41,"Fulham","Young",0.189189189189189,0,0.0338983050847458
"Luke Harris","wls WAL","MF",18,1,0,75,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0,0.3,0,1,0,0,0,0,0,0,0.33,0,0.33,0.33,0.33,"Fulham","Young",0,0.0102739726027397,0
"FodÃ© Ballo-TourÃ©","sn SEN","DF,MF",26,6,0,71,0.8,0,0,0,0,0,0,1,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,"Fulham","Prime",0.135135135135135,0,0
"Aleksandar MitroviÄ‡","rs SRB","FW",28,1,0,33,0.4,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,1,0,0,0,0,0,0,0.44,0,0.44,0.44,0.44,"Fulham","Prime",0,0.00684931506849315,0
"Jordan Pickford","eng ENG","GK",29,38,38,3420,38,0,0,0,0,0,0,5,0,0,0,0.1,0.1,1,6,0,0,0,0,0,0,0,0,0,0,0,"Everton","Prime",1,0,0.00847457627118644
"James Tarkowski","eng ENG","DF",30,38,38,3419,38,1,1,2,1,0,0,11,0,2.6,2.6,2.5,5.1,15,130,20,0.03,0.03,0.05,0.03,0.05,0.07,0.06,0.13,0.07,0.13,"Everton","Prime",1,0.089041095890411,0.211864406779661
"Jarrad Branthwaite","eng ENG","DF",21,35,35,3116,34.6,3,0,3,3,0,0,8,0,1.7,1.7,1,2.8,2,74,6,0.09,0,0.09,0.09,0.09,0.05,0.03,0.08,0.05,0.08,"Everton","Young",0.918918918918919,0.0582191780821918,0.0847457627118644
"James Garner","eng ENG","MF",22,37,34,3004,33.4,1,2,3,1,0,0,7,0,2.7,2.7,4.6,7.3,36,100,76,0.03,0.06,0.09,0.03,0.09,0.08,0.14,0.22,0.08,0.22,"Everton","Young",0.972972972972973,0.0924657534246575,0.389830508474576
"Dwight McNeil","eng ENG","MF,FW",23,35,33,2892,32.1,3,6,9,3,0,0,2,0,3.4,3.4,8.8,12.2,80,114,147,0.09,0.19,0.28,0.09,0.28,0.11,0.27,0.38,0.11,0.38,"Everton","Young",0.918918918918919,0.116438356164384,0.745762711864407
"Abdoulaye DoucourÃ©","ml MLI","FW,MF",30,32,32,2629,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55,97,140,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,"Everton","Prime",0.837837837837838,0.301369863013699,0.245762711864407
"Vitaliy Mykolenko","ua UKR","DF",24,28,28,2469,27.4,2,0,2,2,0,0,1,0,1.5,1.5,0.9,2.4,14,55,68,0.07,0,0.07,0.07,0.07,0.06,0.03,0.09,0.06,0.09,"Everton","Prime",0.72972972972973,0.0513698630136986,0.076271186440678
"Ashley Young","eng ENG","DF,MF",38,31,27,2280,25.3,0,0,0,0,0,0,7,1,0.6,0.6,1.5,2.1,40,82,61,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,"Everton","Veteran",0.810810810810811,0.0205479452054795,0.127118644067797
"Dominic Calvert-Lewin","eng ENG","FW",26,32,26,2171,24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,36,31,122,0.29,0.08,0.37,0.21,0.29,0.54,0.13,0.66,0.47,0.6,"Everton","Prime",0.837837837837838,0.441780821917808,0.26271186440678
"Jack Harrison","eng ENG","MF,FW",26,29,25,2214,24.6,3,3,6,3,0,0,1,0,3.6,3.6,3.4,7,65,62,135,0.12,0.12,0.24,0.12,0.24,0.14,0.14,0.28,0.14,0.28,"Everton","Prime",0.756756756756757,0.123287671232877,0.288135593220339
"Idrissa Gana Gueye","sn SEN","MF",33,25,24,1884,20.9,4,0,4,4,0,0,8,0,1.3,1.3,1.1,2.4,29,83,41,0.19,0,0.19,0.19,0.19,0.06,0.05,0.12,0.06,0.12,"Everton","Veteran",0.648648648648649,0.0445205479452055,0.0932203389830508
"Amadou Onana","be BEL","MF",21,30,23,2091,23.2,2,0,2,2,0,0,5,0,2,2,2.7,4.7,21,107,39,0.09,0,0.09,0.09,0.09,0.09,0.11,0.2,0.09,0.2,"Everton","Young",0.783783783783784,0.0684931506849315,0.228813559322034
"Ben Godfrey","eng ENG","DF",25,15,13,1120,12.4,0,0,0,0,0,0,2,0,1.7,1.7,0.3,2,11,43,26,0,0,0,0,0,0.14,0.02,0.16,0.14,0.16,"Everton","Prime",0.378378378378378,0.0582191780821918,0.0254237288135593
"Nathan Patterson","sct SCO","DF",21,20,9,1005,11.2,0,2,2,0,0,0,4,0,0.3,0.3,1.7,2,17,38,39,0,0.18,0.18,0,0.18,0.03,0.15,0.18,0.03,0.18,"Everton","Young",0.513513513513513,0.0102739726027397,0.144067796610169
"Beto","gw GNB","FW",25,30,9,951,10.6,3,0,3,3,0,1,2,0,6.8,6,0.9,6.9,14,14,58,0.28,0,0.28,0.28,0.28,0.64,0.09,0.73,0.57,0.66,"Everton","Prime",0.783783783783784,0.232876712328767,0.076271186440678
"SÃ©amus Coleman","ie IRL","DF",34,12,7,665,7.4,0,0,0,0,0,0,0,0,0,0,1,1,5,22,16,0,0,0,0,0,0,0.14,0.14,0,0.14,"Everton","Veteran",0.297297297297297,0,0.0847457627118644
"Arnaut Danjuma","nl NED","MF,FW",26,14,5,595,6.6,1,0,1,1,0,0,0,0,2.6,2.6,1.1,3.7,24,9,44,0.15,0,0.15,0.15,0.15,0.4,0.17,0.57,0.4,0.57,"Everton","Prime",0.351351351351351,0.089041095890411,0.0932203389830508
"Michael Keane","eng ENG","DF",30,9,4,439,4.9,1,0,1,1,0,0,2,0,0.7,0.7,0,0.7,4,14,3,0.21,0,0.21,0.21,0.21,0.14,0,0.14,0.14,0.14,"Everton","Prime",0.216216216216216,0.023972602739726,0
"AndrÃ© Gomes","pt POR","MF,FW",30,12,3,508,5.6,1,0,1,1,0,0,4,0,0.3,0.3,0.4,0.7,8,36,29,0.18,0,0.18,0.18,0.18,0.05,0.07,0.13,0.05,0.13,"Everton","Prime",0.297297297297297,0.0102739726027397,0.0338983050847458
"Alex Iwobi","ng NGA","MF",27,2,2,140,1.6,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.5,6,4,8,0,0,0,0,0,0.21,0.14,0.35,0.21,0.35,"Everton","Prime",0.027027027027027,0.0102739726027397,0.0169491525423729
"Lewis Dobbin","eng ENG","MF",20,12,1,232,2.6,1,0,1,1,0,0,1,0,0.3,0.3,0.5,0.8,6,3,20,0.39,0,0.39,0.39,0.39,0.11,0.19,0.3,0.11,0.3,"Everton","Young",0.297297297297297,0.0102739726027397,0.0423728813559322
"Youssef Chermiti","pt POR","FW",19,18,1,208,2.3,0,0,0,0,0,0,3,0,0.7,0.7,0.8,1.5,5,5,15,0,0,0,0,0,0.31,0.34,0.65,0.31,0.65,"Everton","Young",0.459459459459459,0.023972602739726,0.0677966101694915
"Neal Maupay","fr FRA","FW",26,2,1,111,1.2,0,0,0,0,0,0,0,0,1.4,1.4,0.1,1.5,1,0,6,0,0,0,0,0,1.16,0.05,1.22,1.16,1.22,"Everton","Prime",0.027027027027027,0.0479452054794521,0.00847457627118644
"Thomas Cannon","ie IRL","FW",20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Everton","Young",0,0,0
"Tyler Onyango","eng ENG","MF",20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Everton","Young",0,0,0
"Lewis Warrington","eng ENG","FW",20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Everton","Young",0,0,0
"Pascal GroÃŸ","de GER","MF,DF",32,36,34,3114,34.6,4,10,14,3,1,1,6,0,6.5,5.7,8.1,13.8,83,302,180,0.12,0.29,0.4,0.09,0.38,0.19,0.24,0.42,0.16,0.4,"Brighton","Veteran",0.945945945945946,0.222602739726027,0.686440677966102
"Lewis Dunk","eng ENG","DF",31,33,33,2869,31.9,3,1,4,3,0,0,7,1,3.1,3.1,0.9,4,33,152,13,0.09,0.03,0.13,0.09,0.13,0.1,0.03,0.12,0.1,0.12,"Brighton","Veteran",0.864864864864865,0.106164383561644,0.076271186440678
"Jan Paul van Hecke","nl NED","DF",23,28,26,2369,26.3,0,0,0,0,0,0,4,0,1.2,1.2,0.9,2.1,25,147,7,0,0,0,0,0,0.05,0.03,0.08,0.05,0.08,"Brighton","Young",0.72972972972973,0.0410958904109589,0.076271186440678
"Simon Adingra","ci CIV","FW",21,31,25,2222,24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8,111,50,278,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32,"Brighton","Young",0.810810810810811,0.147260273972603,0.313559322033898
"Billy Gilmour","sct SCO","MF",22,30,24,2120,23.6,0,1,1,0,0,0,8,1,1,1,2,3,39,193,33,0,0.04,0.04,0,0.04,0.04,0.09,0.13,0.04,0.13,"Brighton","Young",0.783783783783784,0.0342465753424658,0.169491525423729
"Bart Verbruggen","nl NED","GK",20,21,21,1890,21,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,"Brighton","Young",0.540540540540541,0,0
"Danny Welbeck","eng ENG","FW,MF",32,29,21,1693,18.8,5,1,6,5,0,0,4,0,5.3,5.3,1.7,7,32,44,100,0.27,0.05,0.32,0.27,0.32,0.28,0.09,0.37,0.28,0.37,"Brighton","Veteran",0.756756756756757,0.181506849315068,0.144067796610169
"JoÃ£o Pedro","br BRA","FW,MF",21,31,19,2045,22.7,9,3,12,5,4,5,2,0,11.9,7.9,3.8,11.7,83,92,205,0.4,0.13,0.53,0.22,0.35,0.53,0.17,0.69,0.35,0.51,"Brighton","Young",0.810810810810811,0.407534246575342,0.322033898305085
"Igor","br BRA","DF",25,24,17,1637,18.2,0,0,0,0,0,0,4,0,0.3,0.3,0.7,1,30,107,12,0,0,0,0,0,0.02,0.04,0.05,0.02,0.05,"Brighton","Prime",0.621621621621622,0.0102739726027397,0.0593220338983051
"JoÃ«l Veltman","nl NED","DF",31,27,17,1588,17.6,1,1,2,1,0,0,4,0,0.4,0.4,0.5,0.9,24,85,54,0.06,0.06,0.11,0.06,0.11,0.02,0.03,0.05,0.02,0.05,"Brighton","Veteran",0.702702702702703,0.0136986301369863,0.0423728813559322
"Jason Steele","eng ENG","GK",32,17,17,1530,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Brighton","Veteran",0.432432432432432,0,0
"Facundo Buonanotte","ar ARG","FW,MF",18,27,17,1364,15.2,3,1,4,3,0,0,7,0,2.4,2.4,1.8,4.2,23,42,69,0.2,0.07,0.26,0.2,0.26,0.16,0.12,0.28,0.16,0.28,"Brighton","Young",0.702702702702703,0.0821917808219178,0.152542372881356
"Evan Ferguson","ie IRL","FW",18,27,15,1367,15.2,6,0,6,6,0,0,1,0,4.6,4.6,0.5,5.1,13,15,62,0.4,0,0.4,0.4,0.4,0.3,0.04,0.34,0.3,0.34,"Brighton","Young",0.702702702702703,0.157534246575342,0.0423728813559322
"Carlos Baleba","cm CMR","MF",19,27,15,1325,14.7,0,0,0,0,0,0,7,0,0.8,0.8,0.3,1.1,19,50,9,0,0,0,0,0,0.06,0.02,0.08,0.06,0.08,"Brighton","Young",0.702702702702703,0.0273972602739726,0.0254237288135593
"Pervis EstupiÃ±Ã¡n","ec ECU","DF",25,19,15,1243,13.8,2,3,5,2,0,0,4,0,1,1,3.5,4.4,47,83,88,0.14,0.22,0.36,0.14,0.36,0.07,0.25,0.32,0.07,0.32,"Brighton","Prime",0.486486486486487,0.0342465753424658,0.296610169491525
"Adam Webster","eng ENG","DF",28,15,13,1144,12.7,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.6,16,80,2,0,0,0,0,0,0.03,0.01,0.05,0.03,0.05,"Brighton","Prime",0.378378378378378,0.0136986301369863,0.00847457627118644
"Adam Lallana","eng ENG","MF,FW",35,25,13,850,9.4,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,9,39,55,0,0.11,0.11,0,0.11,0.09,0.18,0.27,0.09,0.27,"Brighton","Veteran",0.648648648648649,0.0273972602739726,0.144067796610169
"James Milner","eng ENG","DF,MF",37,15,11,773,8.6,0,2,2,0,0,0,3,0,0.3,0.3,1.8,2,11,69,73,0,0.23,0.23,0,0.23,0.03,0.21,0.24,0.03,0.24,"Brighton","Veteran",0.378378378378378,0.0102739726027397,0.152542372881356
"Tariq Lamptey","gh GHA","DF,FW",22,19,10,914,10.2,0,3,3,0,0,0,3,0,0.4,0.4,1.2,1.7,39,17,64,0,0.3,0.3,0,0.3,0.04,0.12,0.16,0.04,0.16,"Brighton","Young",0.486486486486487,0.0136986301369863,0.101694915254237
"Jack Hinshelwood","eng ENG","DF",18,12,8,869,9.7,3,0,3,3,0,0,1,0,1.9,1.9,0.7,2.5,16,19,38,0.31,0,0.31,0.31,0.31,0.19,0.07,0.26,0.19,0.26,"Brighton","Young",0.297297297297297,0.0650684931506849,0.0593220338983051
"Solly March","eng ENG","FW,DF",29,7,7,554,6.2,3,1,4,3,0,0,1,0,2,2,1,2.9,14,24,44,0.49,0.16,0.65,0.49,0.65,0.32,0.16,0.47,0.32,0.47,"Brighton","Prime",0.162162162162162,0.0684931506849315,0.0847457627118644
"Jakub Moder","pl POL","MF,DF",24,17,6,618,6.9,0,0,0,0,0,0,2,0,0.6,0.6,0.8,1.3,10,23,26,0,0,0,0,0,0.08,0.11,0.2,0.08,0.2,"Brighton","Prime",0.432432432432432,0.0205479452054795,0.0677966101694915
"Mahmoud Dahoud","de GER","MF",27,9,6,452,5,0,1,1,0,0,0,1,1,0.2,0.2,0.9,1.1,4,11,6,0,0.2,0.2,0,0.2,0.04,0.18,0.22,0.04,0.22,"Brighton","Prime",0.216216216216216,0.00684931506849315,0.076271186440678
"Julio Enciso","py PAR","MF,FW",19,12,5,475,5.3,0,2,2,0,0,0,2,0,1.4,1.4,1.7,3.2,28,21,29,0,0.38,0.38,0,0.38,0.27,0.32,0.59,0.27,0.59,"Brighton","Young",0.297297297297297,0.0479452054794521,0.144067796610169
"Ansu Fati","es ESP","MF,FW",20,19,3,521,5.8,2,0,2,2,0,0,2,0,3.4,3.4,0.8,4.2,16,28,50,0.35,0,0.35,0.35,0.35,0.59,0.14,0.73,0.59,0.73,"Brighton","Young",0.486486486486487,0.116438356164384,0.0677966101694915
"ValentÃ­n Barco","ar ARG","DF,FW",19,6,3,307,3.4,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,8,14,20,0,0,0,0,0,0.05,0.07,0.13,0.05,0.13,"Brighton","Young",0.135135135135135,0.00684931506849315,0.0169491525423729
"Odeluga Offiah","eng ENG","DF",20,4,1,128,1.4,0,0,0,0,0,0,0,0,0,0,0,0,9,4,9,0,0,0,0,0,0,0,0,0,0,"Brighton","Young",0.0810810810810811,0,0
"Mark O'Mahony","ie IRL","FW",18,3,1,63,0.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,"Brighton","Young",0.0540540540540541,0.00342465753424658,0
"Benicio Boaitey","eng ENG","FW,DF",19,5,0,40,0.4,0,0,0,0,0,0,1,0,0,0,0.1,0.1,1,2,2,0,0,0,0,0,0.05,0.13,0.19,0.05,0.19,"Brighton","Young",0.108108108108108,0,0.00847457627118644
"Illia Zabarnyi","ua UKR","DF",20,37,37,3330,37,1,0,1,1,0,0,5,0,1.1,1.1,0.4,1.5,24,109,1,0.03,0,0.03,0.03,0.03,0.03,0.01,0.04,0.03,0.04,"Bournemouth","Young",0.972972972972973,0.0376712328767123,0.0338983050847458
"Dominic Solanke","eng ENG","FW",25,38,37,3325,36.9,19,3,22,17,2,3,3,0,19.6,17.2,3,20.3,52,60,184,0.51,0.08,0.6,0.46,0.54,0.53,0.08,0.61,0.47,0.55,"Bournemouth","Prime",1,0.671232876712329,0.254237288135593
"Ryan Christie","sct SCO","MF",28,37,35,2907,32.3,0,5,5,0,0,0,6,0,2.3,2.3,5.4,7.7,60,167,78,0,0.15,0.15,0,0.15,0.07,0.17,0.24,0.07,0.24,"Bournemouth","Prime",0.972972972972973,0.0787671232876712,0.457627118644068
"Neto","br BRA","GK",34,32,32,2880,32,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bournemouth","Veteran",0.837837837837838,0,0
"Lewis Cook","eng ENG","MF",26,33,32,2786,31,0,3,3,0,0,0,5,1,0.4,0.4,4.3,4.6,22,142,15,0,0.1,0.1,0,0.1,0.01,0.14,0.15,0.01,0.15,"Bournemouth","Prime",0.864864864864865,0.0136986301369863,0.364406779661017
"Marcos Senesi","ar ARG","DF",26,31,26,2242,24.9,4,5,9,4,0,0,13,0,2,2,1.7,3.7,31,127,4,0.16,0.2,0.36,0.16,0.36,0.08,0.07,0.15,0.08,0.15,"Bournemouth","Prime",0.810810810810811,0.0684931506849315,0.144067796610169
"Justin Kluivert","nl NED","MF,FW",24,32,26,1916,21.3,7,1,8,7,0,0,5,0,6.2,6.2,1.9,8.1,65,50,114,0.33,0.05,0.38,0.33,0.38,0.29,0.09,0.38,0.29,0.38,"Bournemouth","Prime",0.837837837837838,0.212328767123288,0.161016949152542
"Adam Smith","eng ENG","DF",32,28,25,2150,23.9,0,2,2,0,0,0,6,0,0.1,0.1,1.3,1.4,24,89,28,0,0.08,0.08,0,0.08,0,0.05,0.06,0,0.06,"Bournemouth","Veteran",0.72972972972973,0.00342465753424658,0.110169491525424
"Marcus Tavernier","eng ENG","FW",24,30,25,2118,23.5,3,4,7,3,0,0,3,0,3.9,3.9,5.2,9.1,79,84,171,0.13,0.17,0.3,0.13,0.3,0.17,0.22,0.39,0.17,0.39,"Bournemouth","Prime",0.783783783783784,0.133561643835616,0.440677966101695
"Antoine Semenyo","gh GHA","FW",23,33,25,2105,23.4,8,2,10,8,0,0,6,0,4.6,4.6,3.2,7.8,89,64,188,0.34,0.09,0.43,0.34,0.43,0.2,0.14,0.34,0.2,0.34,"Bournemouth","Young",0.864864864864865,0.157534246575342,0.271186440677966
"Milos Kerkez","hu HUN","DF",19,28,22,1970,21.9,0,1,1,0,0,0,4,1,1.2,1.2,0.8,2,46,44,93,0,0.05,0.05,0,0.05,0.06,0.04,0.09,0.06,0.09,"Bournemouth","Young",0.72972972972973,0.0410958904109589,0.0677966101694915
"Lloyd Kelly","eng ENG","DF",24,23,17,1559,17.3,0,1,1,0,0,0,2,0,0.3,0.3,1.2,1.6,15,56,28,0,0.06,0.06,0,0.06,0.02,0.07,0.09,0.02,0.09,"Bournemouth","Prime",0.594594594594595,0.0102739726027397,0.101694915254237
"Philip Billing","dk DEN","MF",27,29,13,1398,15.5,2,2,4,2,0,0,3,1,2.5,2.5,3.2,5.7,22,53,63,0.13,0.13,0.26,0.13,0.26,0.16,0.21,0.36,0.16,0.36,"Bournemouth","Prime",0.756756756756757,0.0856164383561644,0.271186440677966
"Max Aarons","eng ENG","DF",23,20,13,1237,13.7,0,1,1,0,0,0,1,0,0,0,0.8,0.9,22,43,26,0,0.07,0.07,0,0.07,0,0.06,0.06,0,0.06,"Bournemouth","Young",0.513513513513513,0,0.0677966101694915
"Dango Ouattara","bf BFA","FW,DF",21,30,12,1229,13.7,1,2,3,1,0,0,3,0,2.6,2.6,1.5,4.1,47,35,90,0.07,0.15,0.22,0.07,0.22,0.19,0.11,0.3,0.19,0.3,"Bournemouth","Young",0.783783783783784,0.089041095890411,0.127118644067797
"Alex Scott","eng ENG","MF",19,23,11,1014,11.3,1,1,2,1,0,0,3,0,0.7,0.7,1.7,2.4,24,50,35,0.09,0.09,0.18,0.09,0.18,0.06,0.15,0.22,0.06,0.22,"Bournemouth","Young",0.594594594594595,0.023972602739726,0.144067796610169
"Luis Sinisterra","co COL","FW,MF",24,20,7,699,7.8,2,2,4,2,0,0,0,0,2.5,2.5,2.4,5,51,38,85,0.26,0.26,0.52,0.26,0.52,0.33,0.31,0.64,0.33,0.64,"Bournemouth","Prime",0.513513513513513,0.0856164383561644,0.203389830508475
"Chris Mepham","wls WAL","DF",25,10,6,617,6.9,0,1,1,0,0,0,2,0,0.1,0.1,0.4,0.5,4,25,1,0,0.15,0.15,0,0.15,0.01,0.06,0.07,0.01,0.07,"Bournemouth","Prime",0.243243243243243,0.00342465753424658,0.0338983050847458
"Mark Travers","ie IRL","GK",24,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bournemouth","Prime",0.0810810810810811,0,0
"Joe Rothwell","eng ENG","MF",28,11,3,386,4.3,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,6,20,3,0,0,0,0,0,0.02,0.06,0.08,0.02,0.08,"Bournemouth","Prime",0.27027027027027,0.00342465753424658,0.0169491525423729
"David Brooks","wls WAL","FW,MF",26,13,2,282,3.1,1,1,2,1,0,0,1,0,2.2,2.2,1,3.2,8,21,27,0.32,0.32,0.64,0.32,0.64,0.7,0.33,1.03,0.7,1.03,"Bournemouth","Prime",0.324324324324324,0.0753424657534247,0.0847457627118644
"IonuÈ› Radu","ro ROU","GK",26,2,2,180,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Bournemouth","Prime",0.027027027027027,0,0
"Jaidon Anthony","eng ENG","FW",23,3,2,152,1.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,2,8,9,0,0,0,0,0,0.04,0,0.04,0.04,0.04,"Bournemouth","Young",0.0540540540540541,0.00342465753424658,0
"Tyler Adams","us USA","MF",24,3,1,121,1.3,0,0,0,0,0,0,0,0,0,0,0.1,0.1,4,5,1,0,0,0,0,0,0,0.06,0.06,0,0.06,"Bournemouth","Prime",0.0540540540540541,0,0.00847457627118644
"James Hill","eng ENG","DF",21,5,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,"Bournemouth","Young",0.108108108108108,0,0
"Kieffer Moore","wls WAL","FW,MF",30,8,0,108,1.2,1,0,1,1,0,0,0,0,1.5,1.5,0.2,1.7,2,4,15,0.83,0,0.83,0.83,0.83,1.23,0.2,1.44,1.23,1.44,"Bournemouth","Prime",0.189189189189189,0.0513698630136986,0.0169491525423729
